tool	mismatches	true_positives	false_positives	false_negatives	ground_truth_total	precision	recall	f1_score
blastn	3	1270806	596453	1340445	2611251	0.6805729681849171	0.486665586724524	0.5675128558382141
spacer_containment	0	1899024	0	0	1899024	1.0	1.0	1.0
spacer_containment	1					0.0	0.0	0.0
spacer_containment	2					0.0	0.0	0.0
spacer_containment	3					0.0	0.0	0.0
mmseqs2	0	1021533	134608	877491	1899024	0.883571294504736	0.5379252710866214	0.6687252570646758
mmseqs2	1	971696	134608	1020643	1992339	0.8783263912993173	0.48771619689219553	0.6271751860411154
mmseqs2	2	901193	134608	1234689	2135813	0.8700445355816416	0.42194377504023056	0.5682866830579004
mmseqs2	3	862278	134608	1748973	2611251	0.8649715213173823	0.33021643648963656	0.47796300417639354
bwa_mem	0	683227	15626	1215797	1899024	0.977640505227852	0.35977797015730184	0.5259887207900913
bwa_mem	1	569097	15626	1423242	1992339	0.9732762350719913	0.2856426541868628	0.4416634136082097
bwa_mem	2	515856	15626	1619957	2135813	0.9705991924467808	0.24152676287671251	0.3868008600473513
bwa_mem	3	497712	15626	2113539	2611251	0.9695600169868586	0.19060289493426713	0.3185775793232326
hisat2	0	1875654	3	23370	1899024	0.9999984005604436	0.9876936784369234	0.9938079535727655
hisat2	1	1638156	3	354183	1992339	0.9999981686759344	0.8222275426019368	0.9024414832345314
hisat2	2	1115625	3	1020188	2135813	0.9999973109316008	0.5223420777006227	0.6862341958534693
hisat2	3	564049	3	2047202	2611251	0.9999946813414367	0.2160071934869532	0.3552725519422871
lexicmap	0	1427612	469844	471412	1899024	0.7523821369243872	0.751760904548863	0.7520713924477411
lexicmap	1	848885	469844	1143454	1992339	0.6437145160226249	0.42607457867360926	0.512756005011072
lexicmap	2	562385	469844	1573428	2135813	0.5448258090016848	0.2633119097973465	0.3550363284325145
lexicmap	3	443019	469844	2168232	2611251	0.48530721477373934	0.16965776173948807	0.25142149204026887
minimap2	0	176	49	1898848	1899024	0.7822222222222223	0.00009267918678226289	0.00018533641455122525
minimap2	1	86	49	1992253	1992339	0.6370370370370371	0.00004316534485346118	0.00008632484037432859
minimap2	2	91	49	2135722	2135813	0.65	0.00004260672633793314	0.00008520786740157671
minimap2	3	220	49	2611031	2611251	0.8178438661710037	0.00008425080545684808	0.00016848425438059062
minimap2_og	0	48	6	1898976	1899024	0.8888888888888888	0.00002527614184970806	0.00005055084625276055
minimap2_og	1	12	6	1992327	1992339	0.6666666666666666	6.02307137490156e-6	0.000012046033918620006
minimap2_og	2	26	6	2135787	2135813	0.8125	0.000012173350382266612	0.000024346335993482674
minimap2_og	3	35	6	2611216	2611251	0.8536585365853658	0.000013403537231771285	0.000026806653564595608
bbmapskimmer	0	377426	1010	1521598	1899024	0.9973311207179021	0.19874735653683154	0.3314446795992026
bbmapskimmer	1	814246	1010	1178093	1992339	0.9987611253397706	0.4086884812273413	0.5800309517576431
bbmapskimmer	2	804812	1010	1331001	2135813	0.9987466214623081	0.3768176333789522	0.5471868535695286
bbmapskimmer	3	760618	1010	1850633	2611251	0.9986738932917383	0.29128490520444034	0.45102003362705867
mmseqs2map	0	1021533	57809	877491	1899024	0.9464405165369272	0.5379252710866214	0.6859687493075062
mmseqs2map	1	982267	57809	1010072	1992339	0.9444184848030336	0.49302202085086927	0.647844704633106
mmseqs2map	2	912682	57809	1223371	2135813	0.9404332446153545	0.42732299129184065	0.587632118427559
mmseqs2map	3	860977	57809	1750274	2611251	0.9370811048492249	0.3297182078628213	0.4878005527987383
