JobID|JobIDRaw|JobName|Partition|MaxVMSize|MaxVMSizeNode|MaxVMSizeTask|AveVMSize|MaxRSS|MaxRSSNode|MaxRSSTask|AveRSS|MaxPages|MaxPagesNode|MaxPagesTask|AvePages|MinCPU|MinCPUNode|MinCPUTask|AveCPU|NTasks|AllocCPUS|Elapsed|State|ExitCode|AveCPUFreq|ReqCPUFreqMin|ReqCPUFreqMax|ReqCPUFreqGov|ReqMem|ConsumedEnergy|MaxDiskRead|MaxDiskReadNode|MaxDiskReadTask|AveDiskRead|MaxDiskWrite|MaxDiskWriteNode|MaxDiskWriteTask|AveDiskWrite|ReqTRES|AllocTRES|TRESUsageInAve|TRESUsageInMax|TRESUsageInMaxNode|TRESUsageInMaxTask|TRESUsageInMin|TRESUsageInMinNode|TRESUsageInMinTask|TRESUsageInTot|TRESUsageOutMax|TRESUsageOutMaxNode|TRESUsageOutMaxTask|TRESUsageOutAve|TRESUsageOutTot|
14887260|14887260|blastn|dori||||||||||||||||||34|22:15:44|CANCELLED by 91591|0:0||Unknown|Unknown|Unknown|385G||||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887260.batch|14887260.batch|batch||94302140K|n0064.dori0|0|94302140K|423912K|n0064.dori0|0|423912K|75000|n0064.dori0|0|75000|30-18:11:46|n0064.dori0|0|30-18:11:46|1|34|22:15:46|CANCELLED|0:15|1K|0|0|0||0|0.01M|n0064.dori0|0|0.01M|0.00M|n0064.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=30-18:11:46,energy=0,fs/disk=8005,mem=423912K,pages=75000,vmem=94302140K|cpu=30-18:11:46,energy=0,fs/disk=8005,mem=423912K,pages=75000,vmem=94302140K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=30-18:11:46,energy=0,fs/disk=8005,mem=423912K,pages=75000,vmem=94302140K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=30-18:11:46,energy=0,fs/disk=8005,mem=423912K,pages=75000,vmem=94302140K|energy=0,fs/disk=214|energy=n0064.dori0,fs/disk=n0064.dori0|fs/disk=0|energy=0,fs/disk=214|energy=0,fs/disk=214|
14887260.extern|14887260.extern|extern||12K|n0064.dori0|0|12K|12K|n0064.dori0|0|12K|0|n0064.dori0|0|0|00:00:00|n0064.dori0|0|00:00:00|1|34|22:15:44|COMPLETED|0:0|2.79M|0|0|0||0|0.01M|n0064.dori0|0|0.01M|0.00M|n0064.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|energy=0,fs/disk=1|energy=n0064.dori0,fs/disk=n0064.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887286|14887286|minimap2|dori||||||||||||||||||34|00:20:50|COMPLETED|0:0||Unknown|Unknown|Unknown|385G|0|||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887286.batch|14887286.batch|batch||115504284K|n0004.dori0|0|115504284K|60161896K|n0004.dori0|0|60161896K|73|n0004.dori0|0|73|00:55:35|n0004.dori0|0|00:55:35|1|34|00:20:50|COMPLETED|0:0|219K|0|0|0||0|0.01M|n0004.dori0|0|0.01M|0.00M|n0004.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=00:55:35,energy=0,fs/disk=8011,mem=60161896K,pages=73,vmem=115504284K|cpu=00:55:35,energy=0,fs/disk=8011,mem=60161896K,pages=73,vmem=115504284K|cpu=n0004.dori0,energy=n0004.dori0,fs/disk=n0004.dori0,mem=n0004.dori0,pages=n0004.dori0,vmem=n0004.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:55:35,energy=0,fs/disk=8011,mem=60161896K,pages=73,vmem=115504284K|cpu=n0004.dori0,energy=n0004.dori0,fs/disk=n0004.dori0,mem=n0004.dori0,pages=n0004.dori0,vmem=n0004.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:55:35,energy=0,fs/disk=8011,mem=60161896K,pages=73,vmem=115504284K|energy=0,fs/disk=214|energy=n0004.dori0,fs/disk=n0004.dori0|fs/disk=0|energy=0,fs/disk=214|energy=0,fs/disk=214|
14887286.extern|14887286.extern|extern||60K|n0004.dori0|0|60K|60K|n0004.dori0|0|60K|0|n0004.dori0|0|0|00:00:00|n0004.dori0|0|00:00:00|1|34|00:20:51|COMPLETED|0:0|2.09M|0|0|0||0|0.01M|n0004.dori0|0|0.01M|0.00M|n0004.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=5329,mem=60K,pages=0,vmem=60K|cpu=00:00:00,energy=0,fs/disk=5329,mem=60K,pages=0,vmem=60K|cpu=n0004.dori0,energy=n0004.dori0,fs/disk=n0004.dori0,mem=n0004.dori0,pages=n0004.dori0,vmem=n0004.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=60K,pages=0,vmem=60K|cpu=n0004.dori0,energy=n0004.dori0,fs/disk=n0004.dori0,mem=n0004.dori0,pages=n0004.dori0,vmem=n0004.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=60K,pages=0,vmem=60K|energy=0,fs/disk=1|energy=n0004.dori0,fs/disk=n0004.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887288|14887288|bbmap|dori||||||||||||||||||34|00:21:05|FAILED|1:0||Unknown|Unknown|Unknown|385G|0|||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887288.batch|14887288.batch|batch||378066972K|n0001.dori0|0|378066972K|240028088K|n0001.dori0|0|240028088K|274|n0001.dori0|0|274|03:22:55|n0001.dori0|0|03:22:55|1|34|00:21:05|FAILED|1:0|324K|0|0|0||0|0.01M|n0001.dori0|0|0.01M|0.00M|n0001.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=03:22:55,energy=0,fs/disk=8002,mem=240028088K,pages=274,vmem=378066972K|cpu=03:22:55,energy=0,fs/disk=8002,mem=240028088K,pages=274,vmem=378066972K|cpu=n0001.dori0,energy=n0001.dori0,fs/disk=n0001.dori0,mem=n0001.dori0,pages=n0001.dori0,vmem=n0001.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=03:22:55,energy=0,fs/disk=8002,mem=240028088K,pages=274,vmem=378066972K|cpu=n0001.dori0,energy=n0001.dori0,fs/disk=n0001.dori0,mem=n0001.dori0,pages=n0001.dori0,vmem=n0001.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=03:22:55,energy=0,fs/disk=8002,mem=240028088K,pages=274,vmem=378066972K|energy=0,fs/disk=214|energy=n0001.dori0,fs/disk=n0001.dori0|fs/disk=0|energy=0,fs/disk=214|energy=0,fs/disk=214|
14887288.extern|14887288.extern|extern||12K|n0001.dori0|0|12K|12K|n0001.dori0|0|12K|0|n0001.dori0|0|0|00:00:00|n0001.dori0|0|00:00:00|1|34|00:21:05|COMPLETED|0:0|2.79M|0|0|0||0|0.01M|n0001.dori0|0|0.01M|0.00M|n0001.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=n0001.dori0,energy=n0001.dori0,fs/disk=n0001.dori0,mem=n0001.dori0,pages=n0001.dori0,vmem=n0001.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=n0001.dori0,energy=n0001.dori0,fs/disk=n0001.dori0,mem=n0001.dori0,pages=n0001.dori0,vmem=n0001.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|energy=0,fs/disk=1|energy=n0001.dori0,fs/disk=n0001.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887316|14887316|strobealign|dori||||||||||||||||||34|00:17:56|COMPLETED|0:0||Unknown|Unknown|Unknown|385G|0|||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887316.batch|14887316.batch|batch||403015736K|n0009.dori0|0|403015736K|400641008K|n0009.dori0|0|400641008K|749|n0009.dori0|0|749|02:20:05|n0009.dori0|0|02:20:05|1|34|00:17:56|COMPLETED|0:0|239K|0|0|0||0|0.01M|n0009.dori0|0|0.01M|0.00M|n0009.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=02:20:05,energy=0,fs/disk=8020,mem=400641008K,pages=749,vmem=403015736K|cpu=02:20:05,energy=0,fs/disk=8020,mem=400641008K,pages=749,vmem=403015736K|cpu=n0009.dori0,energy=n0009.dori0,fs/disk=n0009.dori0,mem=n0009.dori0,pages=n0009.dori0,vmem=n0009.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=02:20:05,energy=0,fs/disk=8020,mem=400641008K,pages=749,vmem=403015736K|cpu=n0009.dori0,energy=n0009.dori0,fs/disk=n0009.dori0,mem=n0009.dori0,pages=n0009.dori0,vmem=n0009.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=02:20:05,energy=0,fs/disk=8020,mem=400641008K,pages=749,vmem=403015736K|energy=0,fs/disk=214|energy=n0009.dori0,fs/disk=n0009.dori0|fs/disk=0|energy=0,fs/disk=214|energy=0,fs/disk=214|
14887316.extern|14887316.extern|extern||60K|n0009.dori0|0|60K|60K|n0009.dori0|0|60K|0|n0009.dori0|0|0|00:00:00|n0009.dori0|0|00:00:00|1|34|00:17:56|COMPLETED|0:0|1.90M|0|0|0||0|0.01M|n0009.dori0|0|0.01M|0.00M|n0009.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=5329,mem=60K,pages=0,vmem=60K|cpu=00:00:00,energy=0,fs/disk=5329,mem=60K,pages=0,vmem=60K|cpu=n0009.dori0,energy=n0009.dori0,fs/disk=n0009.dori0,mem=n0009.dori0,pages=n0009.dori0,vmem=n0009.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=60K,pages=0,vmem=60K|cpu=n0009.dori0,energy=n0009.dori0,fs/disk=n0009.dori0,mem=n0009.dori0,pages=n0009.dori0,vmem=n0009.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=60K,pages=0,vmem=60K|energy=0,fs/disk=1|energy=n0009.dori0,fs/disk=n0009.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887395|14887395|spacer_containment|dori||||||||||||||||||34|21:59:32|CANCELLED by 91591|0:0||Unknown|Unknown|Unknown|385G||||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887395.batch|14887395.batch|batch||4910996K|n0007.dori0|0|4910996K|4217812K|n0007.dori0|0|4217812K|9|n0007.dori0|0|9|30-15:34:15|n0007.dori0|0|30-15:34:15|1|34|21:59:33|CANCELLED|0:15|1K|0|0|0||0|0.01M|n0007.dori0|0|0.01M|0.00M|n0007.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=30-15:34:15,energy=0,fs/disk=8041,mem=4217812K,pages=9,vmem=4910996K|cpu=30-15:34:15,energy=0,fs/disk=8041,mem=4217812K,pages=9,vmem=4910996K|cpu=n0007.dori0,energy=n0007.dori0,fs/disk=n0007.dori0,mem=n0007.dori0,pages=n0007.dori0,vmem=n0007.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=30-15:34:15,energy=0,fs/disk=8041,mem=4217812K,pages=9,vmem=4910996K|cpu=n0007.dori0,energy=n0007.dori0,fs/disk=n0007.dori0,mem=n0007.dori0,pages=n0007.dori0,vmem=n0007.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=30-15:34:15,energy=0,fs/disk=8041,mem=4217812K,pages=9,vmem=4910996K|energy=0,fs/disk=214|energy=n0007.dori0,fs/disk=n0007.dori0|fs/disk=0|energy=0,fs/disk=214|energy=0,fs/disk=214|
14887395.extern|14887395.extern|extern||0|n0007.dori0|0|0|0|n0007.dori0|0|0|0|n0007.dori0|0|0|00:00:00|n0007.dori0|0|00:00:00|1|34|21:59:32|COMPLETED|0:0|2.79M|0|0|0||0|0.01M|n0007.dori0|0|0.01M|0.00M|n0007.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=5329,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=0,pages=0,vmem=0|cpu=n0007.dori0,energy=n0007.dori0,fs/disk=n0007.dori0,mem=n0007.dori0,pages=n0007.dori0,vmem=n0007.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=0,pages=0,vmem=0|cpu=n0007.dori0,energy=n0007.dori0,fs/disk=n0007.dori0,mem=n0007.dori0,pages=n0007.dori0,vmem=n0007.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=0,pages=0,vmem=0|energy=0,fs/disk=1|energy=n0007.dori0,fs/disk=n0007.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887586|14887586|bowtie1|dori||||||||||||||||||34|21:58:39|CANCELLED by 91591|0:0||Unknown|Unknown|Unknown|385G||||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887586.batch|14887586.batch|batch||287966852K|n0020.dori0|0|287966852K|213764184K|n0020.dori0|0|213764184K|112|n0020.dori0|0|112|21:47:47|n0020.dori0|0|21:47:47|1|34|21:59:10|CANCELLED|0:15|2K|0|0|0||0|0.01M|n0020.dori0|0|0.01M|0.00M|n0020.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=21:47:47,energy=0,fs/disk=8008,mem=213764184K,pages=112,vmem=287966852K|cpu=21:47:47,energy=0,fs/disk=8008,mem=213764184K,pages=112,vmem=287966852K|cpu=n0020.dori0,energy=n0020.dori0,fs/disk=n0020.dori0,mem=n0020.dori0,pages=n0020.dori0,vmem=n0020.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=21:47:47,energy=0,fs/disk=8008,mem=213764184K,pages=112,vmem=287966852K|cpu=n0020.dori0,energy=n0020.dori0,fs/disk=n0020.dori0,mem=n0020.dori0,pages=n0020.dori0,vmem=n0020.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=21:47:47,energy=0,fs/disk=8008,mem=213764184K,pages=112,vmem=287966852K|energy=0,fs/disk=214|energy=n0020.dori0,fs/disk=n0020.dori0|fs/disk=0|energy=0,fs/disk=214|energy=0,fs/disk=214|
14887586.extern|14887586.extern|extern||84K|n0020.dori0|0|84K|84K|n0020.dori0|0|84K|0|n0020.dori0|0|0|00:00:00|n0020.dori0|0|00:00:00|1|34|21:58:40|COMPLETED|0:0|2.26M|0|0|0||0|0.01M|n0020.dori0|0|0.01M|0.00M|n0020.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=5329,mem=84K,pages=0,vmem=84K|cpu=00:00:00,energy=0,fs/disk=5329,mem=84K,pages=0,vmem=84K|cpu=n0020.dori0,energy=n0020.dori0,fs/disk=n0020.dori0,mem=n0020.dori0,pages=n0020.dori0,vmem=n0020.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=84K,pages=0,vmem=84K|cpu=n0020.dori0,energy=n0020.dori0,fs/disk=n0020.dori0,mem=n0020.dori0,pages=n0020.dori0,vmem=n0020.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=84K,pages=0,vmem=84K|energy=0,fs/disk=1|energy=n0020.dori0,fs/disk=n0020.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887588|14887588|bowtie2|dori||||||||||||||||||34|00:22:29|OUT_OF_MEMORY|0:125||Unknown|Unknown|Unknown|385G|0|||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
